Number of variables,Number of clauses,result 1/2,time 1/2,result LSU interrupted
37,900,839,0.3777611255645752,819
37,900,842,0.36034178733825684,843
37,900,838,0.3613612651824951,815
37,900,828,0.3593568801879883,819
39,100,99,0.040659189224243164,100
39,100,100,0.041303157806396484,100
39,100,99,0.04034066200256348,100
39,100,99,0.04089832305908203,100
39,100,100,0.04055309295654297,100
39,200,195,0.0824747085571289,198
39,200,198,0.08207225799560547,200
39,200,194,0.08158516883850098,198
39,200,193,0.07944273948669434,198
39,200,194,0.07921481132507324,199
39,300,290,0.12092924118041992,295
39,300,282,0.11786746978759766,292
39,300,286,0.12295126914978027,292
39,300,290,0.1194908618927002,294
39,300,284,0.11959576606750488,291
39,400,379,0.1596992015838623,378
39,400,378,0.160719633102417,373
39,400,377,0.15743160247802734,374
39,400,380,0.16001248359680176,381
39,400,378,0.15782713890075684,376
39,500,467,0.19794893264770508,465
39,500,470,0.1979351043701172,474
39,500,468,0.21461200714111328,461
39,500,468,0.21090292930603027,466
39,500,473,0.21486496925354004,471
39,600,559,0.2618446350097656,542
39,600,558,0.25860023498535156,550
39,600,565,0.2409827709197998,557
39,600,567,0.2642331123352051,559
39,600,560,0.2586629390716553,553
39,700,653,0.28172922134399414,658
39,700,653,0.28598666191101074,643
39,700,650,0.2849617004394531,632
39,700,650,0.27990031242370605,646
39,700,657,0.27927517890930176,631
39,800,730,0.3223757743835449,711
39,800,748,0.32183051109313965,742
39,800,748,0.31619930267333984,725
39,800,743,0.32386231422424316,734
39,800,740,0.3205556869506836,730
39,900,826,0.3645467758178711,828
39,900,834,0.35747599601745605,820
39,900,830,0.3567020893096924,815
39,900,839,0.36272716522216797,812
39,900,836,0.36084842681884766,816
41,100,98,0.04746198654174805,100
41,100,99,0.04606914520263672,100
