Number of variables,Number of clauses,result 7/8,time 7/8,result RC2,time RC2
21,500,463,0.1142115592956543,468,3.195963144302368
21,500,458,0.11799192428588867,463,15.746538639068604
21,500,467,0.11533856391906738,468,4.357180595397949
21,500,469,0.11450552940368652,469,6.18285346031189
21,500,467,0.11350178718566895,476,1.3437042236328125
21,600,555,0.1411149501800537,560,11.29921579360962
21,600,551,0.1471576690673828,560,11.018510103225708
21,600,552,0.14905309677124023,557,22.140969276428223
21,600,550,0.14214873313903809,557,16.43726134300232
21,600,558,0.13870024681091309,562,7.296885251998901
21,700,638,0.20599985122680664,649,22.377277374267578
21,700,646,0.16688966751098633,648,42.57675743103027
21,700,635,0.1618797779083252,647,40.143969774246216
21,700,651,0.1806321144104004,656,9.598310232162476
21,700,639,0.1960291862487793,648,47.220205307006836
21,800,731,0.18484854698181152,734,117.1796486377716
21,800,743,0.2429969310760498,745,17.493719577789307
21,800,732,0.21778154373168945,738,71.00516963005066
21,800,731,0.20525574684143066,736,87.3069396018982
21,800,732,0.1998748779296875,740,56.94304537773132
21,900,813,0.22177410125732422,822,352.2192506790161
21,900,820,0.22290492057800293,824,239.2336883544922
21,900,823,0.31307196617126465,829,122.24630999565125
21,900,829,0.24396061897277832,835,37.62812304496765
21,900,818,0.2264387607574463,825,266.984313249588
23,100,96,0.027733802795410156,100,0.0038857460021972656
23,100,96,0.026949167251586914,100,0.0017385482788085938
23,100,95,0.026726961135864258,99,0.0018963813781738281
23,100,98,0.02680182456970215,99,0.0014865398406982422
23,100,95,0.02751922607421875,100,0.0011403560638427734
23,200,190,0.05449700355529785,194,0.014177799224853516
23,200,190,0.05556058883666992,194,0.0214231014251709
23,200,194,0.06436753273010254,195,0.017976760864257812
23,200,189,0.06962776184082031,194,0.018245935440063477
23,200,192,0.06806683540344238,196,0.00582575798034668
23,300,278,0.09870767593383789,287,0.562483549118042
23,300,285,0.08579444885253906,285,0.7842509746551514
23,300,283,0.08066964149475098,286,1.3063135147094727
23,300,287,0.07977843284606934,290,0.11199545860290527
23,300,283,0.0825498104095459,289,0.4080691337585449
23,400,371,0.15388846397399902,377,4.9086596965789795
23,400,379,0.12250900268554688,381,1.1585259437561035
23,400,369,0.11099791526794434,376,9.61873173713684
23,400,366,0.10654997825622559,376,5.361655235290527
23,400,373,0.10783791542053223,376,8.411158323287964
23,500,458,0.1790475845336914,467,20.409372568130493
23,500,466,0.14112401008605957,467,17.117216110229492
23,500,472,0.14206647872924805,474,3.168898105621338
23,500,460,0.15136003494262695,468,16.64961004257202
23,500,463,0.1403522491455078,471,10.079177379608154
23,600,552,0.1796410083770752,559,44.949190616607666
23,600,553,0.16591453552246094,562,16.07585597038269
23,600,549,0.1617732048034668,559,51.392174243927
23,600,560,0.16171622276306152,562,21.18470788002014
23,600,560,0.16507792472839355,563,26.89027214050293
23,700,647,0.18904566764831543,653,70.99850010871887
23,700,650,0.19182801246643066,655,38.42499399185181
23,700,644,0.1925184726715088,649,147.99198746681213
